Unnamed: 0.1,Unnamed: 0,language,rating,category,combined_text,sentiment
2172,2172,kazakh,5.0,perfumes,"иісі жақсы . тез келді . 
",positive
2209,2209,kazakh,5.0,perfumes,"өте керемет ,  айтарға сөз жоқ 
",positive
2364,2364,kazakh,5.0,perfumes,"маған қатты ұнады . рахмет сіздерге ! 
",positive
2430,2430,kazakh,5.0,perfumes,"маған иісі қатты ұнады ,  сапас жақсы . 
",positive
2483,2483,kazakh,5.0,perfumes,"иісі өте керемет ,  қатты ұнады 
",positive
2484,2484,kazakh,4.0,perfumes,"иісі жақсы . маған ұнады иісі ұзаққа тұрмайды ,  тез кетіп қалады 
",positive
2504,2504,kazakh,1.0,perfumes,"флакон ғана әдемі өте нашара парфюмерия . көңілімнен шықпады . басый ауырып ,  жүрегімді айнытт . базардың парфюмерияс сияқты . сондай бір өткір иіс ,  темекінің иісіндей .  50000 тг мүлде тұрмайды . кеңес бермеймін 
",negative
2505,2505,kazakh,5.0,perfumes,"барлық күткенімдей ,  ерекша иіс . бірінші рет сепкеннен үшінші рет жуғанша иісі ,  сол бойында тұрады . жеткізу бір тәулікте . 
",positive
2548,2548,kazakh,5.0,perfumes,"тауар уақытынан бұрын тез жеткізілді . аромат супер ,  мена куткендей . каспиг рахмет . 
",positive
2568,2568,kazakh,5.0,perfumes,"өте жақсы ,  рахмет ,  ризамыза 
",positive
2583,2583,kazakh,5.0,perfumes,"кушті . керемет . иісі ұзақ уақыт тұрады . 
",positive
2615,2615,kazakh,3.0,perfumes,"курьер тез жеткізңп берді ,  алғысым шексіз . каспи магазинг де үлкен рахмет ! сыртқы пішіні ұнады . иісі әдемі ,  бірақ менің талғамымдағы әтір емес . қысқасы ,  әтір таңдағанда көзбен көріп ,  иісін ажыратып алған дұрыс деп ойладой . 
",neutral
2678,2678,kazakh,5.0,perfumes,"өте жақсы . ұзаққа шығып тұрады 
",positive
2691,2691,kazakh,5.0,perfumes,"керемет ,  өте жақсы иіс ,  ұзаққа сақталады 
",positive
2699,2699,kazakh,5.0,perfumes,"ініме алған едім . жақсы ,  ұнады деді . версач жақсы ғой негізі 
",positive
2704,2704,kazakh,5.0,perfumes,"каспи магазинг көп - көп рахмет сапас жақсы ,  өте керемет ,  иісі ұзақ уақыт тұрады екен ,  рахмет 
",positive
2710,2710,kazakh,5.0,perfumes,"3 жыл қолданып келемін .  
 өзіме ұнады  
 заказды уақытылы алып келеді  
 иісі ұстамырақ 
",positive
2736,2736,kazakh,5.0,perfumes,"иісі керемет ,  маған ұнады . 
",positive
2746,2746,kazakh,5.0,perfumes,"керемет ,  жақсы 
",positive
2760,2760,kazakh,5.0,perfumes,"бітпеген иіссуым бар . артығымен алып қойғаным . бірақ иісінің сақталуын білу үшін септім . жақсы сақталатынына көзім жетті . ұнады . жеткізуіне қосымша ақша алынғанымен ,  тапсырысый үйіме дейін жеткізілмеді . өзім алып кеттім . 
",positive
2776,2776,kazakh,5.0,perfumes,"ұнады . жақсы . 
",positive
2777,2777,kazakh,5.0,perfumes,"тапсырыст тез алып келді ,  айтқан уақытында . тауар жақсы ,  ұнады . курьер сыпайы . рахмет иісі тамаша 
",positive
2843,2843,kazakh,5.0,smartphones,"телефон өте жақсы ,  қолға ұстауға ыңғайлы . каспи магазин керемет . тез жеткізу . бәрі тамаша . 
",positive
2970,2970,kazakh,5.0,smartphones,"бәрі өте ыңғайлы және жақсы . суретка әдемі түсіреді ! 
",positive
2975,2975,kazakh,5.0,smartphones,"өте керемет дүкен екен ,  тапсырысымды 4 кун алда ,  ала акеп берді ,  еас сапас ,  сулпак ,  технодомнан еш айырмашылығы жоқ ,  рахмет ! бағасы басқа дүкендерден арзана екен . 
",positive
3004,3004,kazakh,5.0,smartphones,"супер ! өте жақсы телефон ,  алыңыздар ,  өкінбеисіздер . мундай бағаға осындай телефон табылмайд . 
",positive
3022,3022,kazakh,5.0,smartphones,"маған ұнады 
",positive
3029,3029,kazakh,5.0,smartphones,"бізге ұнады ,  бағасы жақсы ,  лайықты ,  программалар ыңғайлы ,  жылда әрі өте сапал 
",positive
3034,3034,kazakh,5.0,smartphones,"өте керемет телефон ! барлықтарынызға кеңес беремін ,  өкінбейсіздер 
",positive
3066,3066,kazakh,5.0,smartphones,"бағасы қымбаттау телефон қатты ұнады . әсіресе faceid жұмыс істейді . самсунгтан кейін тез үйреніп кеттім . жалпа айтқанда ,  тез жұмыс атқаратын телефон . салмағы ауырлау ,  бірақ қолда ыңғайлы . сурет керемет шығады . заряд күні бойы интернетт отырғанда 12 - 16 сағатқа шыдайд . бір сөзбен айтқанда ,  керемет әзірге ондай болған жоқ 
",positive
3103,3103,kazakh,5.0,smartphones,"өте жақсы телефон . маған ұнады ,  сатып алғаныма өте қуаныштымын 
",positive
3106,3106,kazakh,5.0,smartphones,"қолдануға өте ыңғайлы . бәріңізге сатып алуда ұсынамын 
",positive
3118,3118,kazakh,5.0,smartphones,"рахмет саған ,  каспи ! бірінші келіншегіме алып берген едім ,  бір аптаға жетпей өзіме де алдым . көңілімнен шықты . алуға тұратын нәрсе . 
",positive
3258,3258,kazakh,4.0,smartphones,"жақсы ,  әдемі екен ! әзірге ештеңе айта алмаймын 
",positive
3280,3280,kazakh,5.0,smartphones,"өте ынғайлы телефон ,  алсер өте тез жеткізіп берді ,  рахмет ! 
",positive
3285,3285,kazakh,5.0,smartphones,"сатушыларға рахмет ,  қызмет көрсетуіне ризамын . ұялы телефон көңілмен шықты . 
",positive
3300,3300,kazakh,5.0,smartphones,"өте жақсы ,  қолжетімді телефон ,  рахмет ! 
",positive
3302,3302,kazakh,5.0,smartphones,"рахмет ,  өте қатты ұнады ,  бағасы тиімді . рахмет ,  каспи . рахмет ,  алсер 
",positive
3312,3312,kazakh,5.0,smartphones,"өте жақсы телефон ,  ұнады өзіме . бағасы керемет . заряд екі күнге жетеді қазірше ешқандай ақау көрген жоқпын 
",positive
3323,3323,kazakh,4.0,smartphones,"телефонд өшіріп қосқан кезде ,  экран ағарып түрді . біраздан кейін қосылды ,  ойымдағыдай болмада 
",positive
3333,3333,kazakh,3.0,smartphones,"маған ұнады ,  рахмет . 
",neutral
3419,3419,kazakh,5.0,smartphones,"батареяс ұзаққа шыдайда ,  камерас жақсы ,  айфон xs тен фото сапасынан айырмашылық жоқ . көңілден шықты ,  егер ақшаңызды ыңғайлап экономдаймын десеңіз ,  алуға кеңес беремін . наушник пена зарядттайтын жері бір . 
",positive
3458,3458,kazakh,5.0,smartphones,"алғаныма еш өкінбеймін ,  өте тез жұмыс жасайда ,  камерас супер барлығы ұнады 
",positive
3478,3478,kazakh,5.0,smartphones,"мена ойлағандай )  бәрі ұнады 
",positive
3517,3517,kazakh,5.0,smartphones,"xiaomi фирмасының барлық өнімдеріне риза болдым . хіаоmi 5 plus ,  6 a ,  7 a телефондарын алдым каспи магазинден . мықты деген айфон ,  жолд қалады . қатпайды ,  интернетт зуылдайд ,  бағасы қолжетімді . 
",positive
3533,3533,kazakh,5.0,smartphones,"жақсы ,  қолжетімді бағасы ,  алыңыздар ,  өкінбейсіздер . жақсы ,  ыңғайлы телефон ,  объектив деген программаса ұнады ,  қытай ,  ағылшын тілін аударатын ,  бірақ орыс тіліне аударад екен . сөйлескен кезде экран басылып ,  кей программаларын кіріп кетеді . қалған жағы бәрі жақсы . 
",positive
3546,3546,kazakh,4.0,smartphones,"жақсы телефон ,  қызыма ұнады . 
",positive
3553,3553,kazakh,5.0,smartphones,"бағасына тұрарлық . басқалардан кто емес 
",positive
3570,3570,kazakh,5.0,smartphones,"сүретке жақсы түсіреді . 
",positive
3583,3583,kazakh,4.0,smartphones,"жақсы телефон . заряд жақсы ұстайды . 
",positive
3591,3591,kazakh,5.0,smartphones,"анашым алғанмын ,  жақсы екен . функцияларын тез түсініп алыпт ! 
",positive
3609,3609,kazakh,5.0,smartphones,"керемет телефон , маған ұнады 
",positive
3633,3633,kazakh,5.0,smartphones,"қуаты екі тәулікке жетеді ,  жолға шыққанда пауэрбэнка ұстамайтын болдым ! маған ұнады . 
",positive
3650,3650,kazakh,5.0,smartphones,"жақсы сыйлық . қарындасым қуанып қалды 
",positive
3676,3676,kazakh,5.0,smartphones,"жақсы ,  бәрі ойдағыдай 
",positive
3696,3696,kazakh,1.0,smartphones,"нашар ,  суықта қатып қалады 
",negative
3755,3755,kazakh,5.0,smartphones,"сапал ,  өте жақсы 
",positive
3768,3768,kazakh,5.0,smartphones,"батарейка последний обновление ios 
",positive
3821,3821,kazakh,5.0,smartphones,"телефон керемет ,  барлығы жақсы жұмыс жасайда 
",positive
3878,3878,kazakh,5.0,smartphones,"тауар жақсы ,  ұнады . 
",positive
3885,3885,kazakh,5.0,smartphones,"тез жеткізілді ,  рахмет kaspi . kz ! өте жақсы телефон көп өзгерістері бар ,  маған ұнады ! 
",positive
3887,3887,kazakh,5.0,smartphones,"бәрі ұнады . керемет смартфон . өз бағасына тұрады . 
",positive
3916,3916,kazakh,5.0,smartphones,"күшті ! 
",positive
3919,3919,kazakh,5.0,smartphones,"рахмет ,  тез әрі жақсы телефонға . 
",positive
3922,3922,kazakh,5.0,smartphones,"бәрі күшті маған бәрі ұнады 
",positive
3928,3928,kazakh,3.0,smartphones,"дизайн . виснуть сильно ,  камера нечеткий ,  отключаться часто . 
",neutral
3968,3968,kazakh,5.0,smartphones,"бағасына тұрарлық телефон . 
",positive
3981,3981,kazakh,3.0,smartphones,"интернет жақсы ұстайды . суретка анық түсіреді . телефон қызып кетеді екен . 
",neutral
3982,3982,kazakh,5.0,smartphones,"жақсы телефон ,  4g ұстайды . камерас сапал ,  өз бағасына сай . батарея сипаттамсын сəйкес келмейді 
",positive
4002,4002,kazakh,5.0,smartphones,"каспи магазинг рахмет бәрі жақсы ,  заряд жақсы ұстайды . керемет телефон ,  ризамын 
",positive
4006,4006,kazakh,5.0,smartphones,"əзірше бəрі жақсы 
",positive
4009,4009,kazakh,5.0,smartphones,"жақсы телефон . қызыма ұнады . 
",positive
4015,4015,kazakh,5.0,smartphones,"бұл телефон өте керемет ,  әрі қолжетімді . интернет 4g ұстайды . 
",positive
4016,4016,kazakh,5.0,smartphones,"бәрі жақсы ,  өз бағасына татида 
",positive
4059,4059,kazakh,3.0,smartphones,"камерас нашар түсіреді екен ,  әріптері де қате басылып кета береді 
",neutral
4086,4086,kazakh,5.0,smartphones,"өте тамаша ,  рахмет 
",positive
4091,4091,kazakh,5.0,smartphones,"жақсы телефон . қызыма алда сыйлыққа . ұнады . течь құлаққап жоқ . рахмет ! 
",positive
4110,4110,kazakh,5.0,smartphones,"жақсы телефон . 
",positive
4113,4113,kazakh,5.0,smartphones,"өте тамаша телефон 
",positive
4118,4118,kazakh,5.0,smartphones,"телефон жақсы жұмыс істейді ,  қуаты ұзақ уақытқа жетеді ,  1 - 2 күнге жетеді . жылда жұмыс істейді ,  ауыр ойындард ойнауға болад ,  саусақтың ізі және бета сканері бар ,  олар өте жылда істейді . 
",positive
4128,4128,kazakh,5.0,smartphones,"жақсы телефон . 
",positive
4138,4138,kazakh,5.0,smartphones,"жақсы телефон ,  ыңғайлы ,  жеңіл ,  жылда 
",positive
4143,4143,kazakh,5.0,smartphones,"супер ,  күшті ,  өзіме ұнады 
",positive
4146,4146,kazakh,5.0,smartphones,"рахмет ! 
",positive
4190,4190,kazakh,5.0,smartphones,"телефон өте керемет ,  балам қатты ұнады 
",positive
4228,4228,kazakh,5.0,smartphones,"айтуға сөзім жоқ ,  тауар күшті бәрі күшті 
",positive
4236,4236,kazakh,3.0,smartphones,"былать жалпа күшті телефон қатты қызып кетеді екен 
",neutral
4238,4238,kazakh,5.0,smartphones,"каспи банктан алған ыңғайлы телефон өте жақсы . камерасын сөз жоқ . сатып алғаныма еш өкінбеймін ,  сапас керемет 
",positive
4254,4254,kazakh,5.0,smartphones,"базар жок жаксы телефон кнопка жок ))
",positive
4258,4258,kazakh,5.0,smartphones,"өте ыңғайлы ,  тамаша . бәрі тамаша . ешқандай кто емес . 
",positive
4261,4261,kazakh,5.0,smartphones,"телефон маған ұнады ! ұстауға ыңғайлы ! 
",positive
4268,4268,kazakh,5.0,smartphones,"алыңыздар ,  керемет телефон ,  өкінбейсіздер өте керемет ,  ыңғайлы ,  қатты ұнады . сүреттің сапас мена үшін маңызды сүретке жақсы түсіреді . барлығы керемет ,  рахмет 
",positive
4277,4277,kazakh,5.0,smartphones,"өте жақсы ұялы телефон 
",positive
4281,4281,kazakh,1.0,smartphones,"заряд тез отырад екен 
",negative
4283,4283,kazakh,5.0,smartphones,"өте жеңіл ,  ыңғайлы . керемет . 
",positive
4284,4284,kazakh,4.0,smartphones,"басқаша айтқанда өз бағасына лайық телефон . телефон орташа . камера нашара ,  ip68 жоқ ,  жылда заряд жоқ 
",positive
4288,4288,kazakh,5.0,smartphones,"маган унада . фотог жаксы тусиреди . колг ынгаил .  32гб . 
",positive
4291,4291,kazakh,5.0,smartphones,"өте керемет 
",positive
4292,4292,kazakh,5.0,smartphones,"рахмет сіздерге . мағат қатты ұнады және төлем шарттара өте жеңіл 
",positive
4305,4305,kazakh,3.0,smartphones,"керемет ! очень нравиться . 
",neutral
4308,4308,kazakh,5.0,smartphones,"өте жақсы ұялы телефон . ұнағаны қуат күшінің бір күнге жеткеніне ,  суретка анық түсіру және тағы басқада функциялар өте көп . қолжетімді бағада қолайлы баніктен ,  рахмет сіздерге ! 
",positive
4323,4323,kazakh,5.0,smartphones,"бәрі жақсы 
",positive
4349,4349,kazakh,5.0,smartphones,"бәрі керемет маған ұнады 
",positive
4351,4351,kazakh,5.0,smartphones,"телефон ұнады ,  өте керемет 
",positive
4357,4357,kazakh,5.0,smartphones,"керемет ! 
",positive
4361,4361,kazakh,5.0,smartphones,"өте керемет ,  сапал ,  ыңғайлы телефон ,  бізге қатты ұнады . 
",positive
4363,4363,kazakh,5.0,smartphones,"телефон жақсы ,  ұнады 
",positive
4374,4374,kazakh,5.0,smartphones,"жақсы смартфон . каспиг рахмет . kaspi жұмада үлгердім алып . алуға болад . бағасына лайық сөйлескен кезде кейд шуылдайд 
",positive
4376,4376,kazakh,5.0,smartphones,"телефон маған өте ұнады . жақсы телефон . маған өте ұнады . сапас өте жақсы . 
",positive
4379,4379,kazakh,5.0,smartphones,"жақсы телефон ,  маған қатты ұнады 
",positive
4380,4380,kazakh,5.0,smartphones,"өте ыңғайлы телефон . фотоға анық түсіреді . дауыс анық естіледі 
",positive
4389,4389,kazakh,5.0,smartphones,"ұнады ,  жақсы ,  қолға ыңғайлы 
",positive
4391,4391,kazakh,5.0,smartphones,"жалпа жақсы телефон деп ,  немерем таңдап алда ,  оған өте ұнады ,  ризамыза . рахмет каспи магазинг ,  және клиентпен жұмыс жасап отырған менеджерлег ,  бәріне алғысым шексіз . шарықтай бер ,  каспи ! 
",positive
4394,4394,kazakh,4.0,smartphones,"телефон жақсы . көптеген ыңғайлы функциялар бар . вьетнамда жасалған . батарея әлсіз екен . сондықтан 4 жұлдыз . 
",positive
4400,4400,kazakh,5.0,smartphones,"бәрі жақсы ! 
",positive
4401,4401,kazakh,5.0,smartphones,"жақсы телефон . 
",positive
4412,4412,kazakh,5.0,smartphones,"өте жақсы телефон ,  әдемі ,  интернеті қолжетімді ,  өте үлкен емес ,  ыңғайлы қазірше бәрі жақсы 
",positive
4416,4416,kazakh,5.0,smartphones,"өте керемет дизайн . өте жақсы ,  ыңғайлы телефон 
",positive
4423,4423,kazakh,5.0,smartphones,"тауар жақсы ,  бағасы сулпак ,  технодомға қарағанда арзанырағын тауып алдым оса kaspi . kz - тен . арзана кезінде алдым . білмедім ,  інімнен сұрау керек оны )
",positive
4429,4429,kazakh,5.0,smartphones,"өте керемет . 
",positive
4436,4436,kazakh,4.0,smartphones,"өте қатты ұнады ,  рахмет . 
",positive
4457,4457,kazakh,5.0,smartphones,"рахмет каспи магазинг әдемі әрі ыңғайлы . керемет смартфон 
",positive
4463,4463,kazakh,5.0,smartphones,"маған ұнады . жақсы смартфон . көңіліме ұнамаған ештеңе жоқ . сатушы тез әрі сыпайы сөйлесті . рахмет . 
",positive
4471,4471,kazakh,5.0,smartphones,"маған оса телефон өте қатты ұнады барлық жағынан 
",positive
4493,4493,kazakh,5.0,smartphones,"өте жақсы телефон . қолға ұстауғада өте ыңғайлы . маған ұнады . 
",positive
4495,4495,kazakh,5.0,smartphones,"өте керемет ,  бұлай тез аламын деп ойламадым . рахмет барлық қызметкерлерге . телефоной өзіме қатты ұнады . 
",positive
4499,4499,kazakh,5.0,smartphones,"өте жақсы дизайн ,  әрі жақсы жұмыс істейді . 
",positive
4500,4500,kazakh,5.0,smartphones,"өте жақсы телефон . каспи магазинг рахмет 
",positive
4506,4506,kazakh,5.0,smartphones,"сыртқы келбеті өте әдемі ,  барлық талаптарға сай ,  маған ұнады 
",positive
4518,4518,kazakh,4.0,smartphones,"интернет жайя істейді 
",positive
4522,4522,kazakh,5.0,smartphones,"өте керемет . барлығы ұнады ,  өте ыңғайлы . 
",positive
4530,4530,kazakh,5.0,smartphones,"6+ өте әдемі ,  керемет телефон . маған қатты ұнады 
",positive
4535,4535,kazakh,5.0,smartphones,"телефон самсунг а6 ұнады . минус әзірге жоқ . алуға болад 
",positive
4538,4538,kazakh,5.0,smartphones,"өзінің бағасына лайықты 
",positive
4539,4539,kazakh,5.0,smartphones,"жақсы . 
",positive
4555,4555,kazakh,5.0,smartphones,"zhaqsy telefon ,  unady . satushylar keremet ,  oz zhumysyn zhaqsy atqarady 
",positive
4559,4559,kazakh,5.0,smartphones,"жақсы телефон . өзіме ынғайлы 
",positive
4567,4567,kazakh,4.0,smartphones,"жақсы телефон ,  ұнады . жолдасым алып бердім . анық ,  тауар көңілден шықты . 
",positive
4577,4577,kazakh,5.0,smartphones,"өте жақсы . 
",positive
4581,4581,kazakh,5.0,smartphones,"керемет . 
",positive
4584,4584,kazakh,5.0,smartphones,"керемет . 
",positive
